date,underlying,svix30,atm30,spot,near_expiry,near_days,near_vol,next_expiry,next_days,next_vol,n_options,file
2026-07-06,OMXS30,15.68,14.39,3233.54,31-Jul-26,25.0,16.13,07-Aug-26,32.0,15.53,413,NordicDerivatives-pretrade-2026-07-06T1724
2026-07-07,AAK,25.03,28.54,238.28,Jul-26,10.0,32.59,Aug-26,45.0,23.53,18,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,ABB,34.61,36.86,999.28,31-Jul-26,24.0,36.62,07-Aug-26,31.0,34.35,295,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,ADDTB,30.46,32.46,334.09,Jul-26,10.0,43.19,Aug-26,45.0,27.78,53,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,ALFA,26.65,28.10,565.68,Jul-26,10.0,26.56,Aug-26,45.0,26.66,93,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,ASSAB,25.89,24.47,340.26,Jul-26,10.0,32.89,Aug-26,45.0,24.53,93,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,ATCOA,32.64,36.09,188.91,Jul-26,10.0,40.40,Aug-26,45.0,31.16,148,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,AXFO,24.70,29.02,267.85,Jul-26,10.0,33.32,Aug-26,45.0,22.95,101,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,AZN,32.45,30.57,1864.60,Jul-26,10.0,35.81,Aug-26,45.0,31.86,130,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,BETSB,46.47,48.82,86.00,Jul-26,10.0,64.18,Aug-26,45.0,42.81,117,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,BILL,44.00,44.26,63.55,Jul-26,10.0,60.54,Aug-26,45.0,40.59,134,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,BOLI,44.81,44.41,524.19,Jul-26,10.0,44.78,Aug-26,45.0,44.82,163,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,CAST,28.00,24.20,132.82,Jul-26,10.0,37.72,Aug-26,45.0,26.03,135,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,DOM,47.69,58.06,24.22,Jul-26,10.0,52.72,Aug-26,45.0,46.80,84,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,ELUXB,55.17,63.49,26.90,Aug-26,45.0,51.73,Sep-26,73.0,48.92,73,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,EMBRAC,45.82,51.62,63.75,Jul-26,10.0,48.31,Dec-26,164.0,44.76,43,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,EPIA,36.84,36.06,257.97,Jul-26,10.0,49.38,Aug-26,45.0,34.31,135,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,EQT,37.30,41.83,279.41,Jul-26,10.0,50.66,Oct-26,101.0,31.27,85,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,ERICB,38.34,44.08,105.40,31-Jul-26,24.0,35.89,07-Aug-26,31.0,38.64,167,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,ESSITB,26.70,25.83,282.25,Jul-26,10.0,38.94,Aug-26,45.0,24.07,87,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,EVO,40.51,39.55,667.77,Jul-26,10.0,56.77,Aug-26,45.0,37.11,146,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,GETIB,33.70,31.68,206.06,Jul-26,10.0,46.38,Aug-26,45.0,31.09,124,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,HEXB,39.18,33.89,82.88,Dec-26,164.0,35.02,Mar-27,255.0,34.67,91,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,HMB,21.81,23.59,167.02,Jul-26,10.0,24.55,Aug-26,45.0,21.32,155,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,HOLMB,22.63,22.39,302.82,Jul-26,10.0,22.98,Aug-26,45.0,22.57,136,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,INDUC,21.31,20.71,525.52,Jul-26,10.0,21.84,Aug-26,45.0,21.22,125,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,INVEB,18.06,18.67,398.65,Jul-26,10.0,19.87,Aug-26,45.0,17.75,91,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,KINB,35.32,36.72,53.40,Jul-26,10.0,33.31,Aug-26,45.0,35.65,104,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,LATOB,27.91,26.21,193.75,Jul-26,10.0,26.01,Aug-26,45.0,28.21,54,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,LUMI,52.33,52.93,227.09,Jul-26,10.0,51.34,Aug-26,45.0,52.49,179,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,METSO,45.26,39.87,15.60,Aug-26,45.0,39.71,Sep-26,73.0,34.86,25,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,NCC,36.69,35.75,192.74,Jul-26,10.0,52.22,Aug-26,45.0,33.41,115,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,NESTE,57.96,57.82,27.59,Aug-26,45.0,52.97,Sep-26,73.0,48.80,110,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,NEWAB,36.78,35.75,94.30,Jul-26,10.0,21.23,Aug-26,45.0,38.77,103,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,NOA,71.36,79.93,10.39,Aug-26,45.0,64.79,Sep-26,73.0,59.25,14,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,NOKI,71.62,79.70,115.01,Jul-26,10.0,60.71,Aug-26,45.0,73.28,163,NordicDerivatives-pretrade-2026-07-07T1724
